[18335, 26953, 19212, 16526, 26362, 29889, 13, 13, 1576, 26953, 19212, 16526, 22931, 338, 263, 5412, 4682, 393, 6511, 366, 304, 11819, 278, 16988, 11749, 310, 596, 12646, 19716, 297, 1855, 29899, 2230, 29889, 910, 22931, 8128, 366, 411, 16232, 322, 23279, 2472, 1048, 596, 16988, 29915, 29879, 2106, 310, 8323, 29892, 607, 508, 1371, 366, 24656, 596, 19500, 322, 9151, 292, 2299, 1169, 29889, 13, 13, 1576, 26953, 19212, 16526, 22931, 338, 8688, 304, 367, 4780, 304, 671, 322, 2274, 29892, 411, 263, 2560, 322, 27951, 573, 5067, 393, 14423, 596, 16988, 29915, 29879, 11749, 3233, 297, 1855, 29899, 2230, 29889, 910, 6511, 366, 304, 9098, 322, 5948, 11819, 596, 16988, 29915, 29879, 2106, 310, 8323, 322, 1207, 23388, 1602, 12112, 1048, 746, 304, 8323, 596, 19716, 29889, 13, 13, 797, 6124]
[2777, 23515, 23874, 4815, 27344, 454, 23918, 316, 3444, 316, 5733, 316, 7946, 29871, 29906, 1671, 425, 8861, 10098, 316, 1487, 298, 6844, 427, 8957, 424, 427, 10996, 454, 7992, 4737, 29920, 29889, 13, 13, 2277, 29937, 29871, 29896, 29929, 29947, 29947, 13, 13, 29930, 29871, 29906, 29953, 10295, 584, 997, 3444, 27344, 425, 19401, 553, 315, 1132, 267, 427, 8957, 424, 427, 10996, 454, 7992, 11112, 650, 29889, 13, 29930, 29871, 29906, 29953, 7438, 584, 951, 7992, 405, 3794, 27344, 454, 23918, 316, 3444, 316, 5733, 316, 7946, 29871, 29896, 1671, 425, 4670, 6578, 5000, 10098, 316, 1487, 298, 6844, 29889, 13, 29930, 29871, 29896, 261, 5530, 584, 951, 7992, 4737, 29920, 27344, 425, 19401, 316, 3444, 427, 8957, 424, 427, 10996, 454, 12314, 24649, 265, 29889, 13, 13, 2277, 29937, 29871]
[14825, 15996, 9669, 16981, 21817, 10447, 29915, 29879, 8237, 2259, 19520, 4088, 19530, 19320, 5485, 10040, 17088, 13548, 7927, 365, 522, 545, 5682, 284, 2803, 2153, 10895, 1017, 9538, 5449, 1535, 26176, 9669, 9669, 319, 517, 5815, 9669, 23803, 9669, 29899, 1762, 839, 29877, 4241, 9669, 29899, 29999, 279, 4425, 1362, 4241, 7407, 9669, 29899, 1440, 5760, 3792, 7781, 2315, 9669, 2315, 4233, 1085, 9081, 1085, 9081, 2866, 1461, 1085, 9081, 7927, 6502, 24760, 6502, 24760, 4088, 17582, 29879, 9082, 12343, 346, 8213, 6286, 397, 20556, 4702, 13775, 310, 9548, 625, 12568, 12568, 4412, 5765, 18588, 14253, 319, 2710, 20080, 20080, 5298, 341, 2172, 1535, 8125, 14624, 17088, 14624, 10277, 341, 4992, 2598, 12040, 2598, 26968, 1938, 14600, 4526, 643, 3605, 3879, 284, 3879, 2877, 3879, 542, 1111, 7871, 13957, 14104, 583, 3237]
[18523, 16082, 25262, 19933, 5890, 29892, 278, 16082, 310, 278, 3458, 338, 278, 1556, 4100, 29889, 13, 2831, 278, 3458, 338, 278, 1556, 4100, 29892, 1363, 372, 338, 278, 2752, 310, 599, 1749, 13133, 29892, 21737, 29892, 322, 8820, 29889, 739, 338, 278, 2058, 988, 1749, 17750, 29879, 29892, 1819, 29892, 322, 1098, 20816, 526, 8429, 29892, 322, 372, 338, 278, 2752, 310, 1749, 907, 28157, 29892, 28038, 29892, 322, 24233, 362, 29889, 13, 6246, 278, 3458, 338, 884, 278, 1556, 23180, 519, 760, 310, 502, 29892, 1363, 372, 338, 5948, 28482, 491, 7029, 13879, 29892, 1316, 408, 5374, 26310, 6056, 29879, 29892, 16375, 2149, 800, 29892, 322, 5745, 13089, 5863, 29889, 739, 338, 4780, 304, 367, 1320, 1461, 287, 29892, 9613, 29892, 470, 11525, 7964, 491, 1438, 7029, 13879, 29892, 322, 372]
[6613, 11954, 11170, 12332, 10498, 29892, 304, 278, 1298, 988, 896, 29915, 276, 1044, 3598, 1811, 304, 4772, 372, 29889, 13, 13, 2776, 3236, 29892, 727, 526, 777, 18697, 15283, 304, 445, 534, 355, 29889, 3834, 17906, 322, 11073, 526, 1603, 1044, 3598, 2504, 11427, 322, 337, 280, 5832, 13848, 2904, 6475, 29892, 322, 727, 526, 1584, 777, 716, 7417, 11073, 393, 526, 12789, 4746, 14419, 368, 373, 13848, 2904, 27474, 29889, 2398, 29892, 363, 278, 1556, 760, 29892, 372, 2444, 393, 13848, 2904, 756, 4953, 263, 302, 4070, 9999, 29892, 3265, 1135, 263, 1667, 5461, 697, 29889, 13, 13, 6295, 29892, 825, 29915, 29879, 5742, 445, 9500, 3448, 515, 13848, 2904, 29973, 1670, 526, 263, 2846, 13879, 393, 1033, 367, 17737, 17068, 304, 278, 4845, 457, 310, 13848, 2904, 29889, 2266, 526]
[1751, 31065, 25016, 11138, 24477, 874, 29892, 607, 526, 14040, 363, 278, 4771, 362, 310, 6788, 29889, 13, 13, 1576, 4771, 706, 26808, 787, 393, 22649, 6788, 18470, 515, 278, 3573, 304, 278, 805, 979, 13793, 526, 2000, 302, 542, 625, 415, 943, 29889, 4525, 26808, 787, 526, 4266, 1891, 304, 6459, 322, 22649, 18470, 4475, 304, 260, 15118, 18658, 29892, 4414, 4850, 362, 29892, 470, 916, 10311, 1319, 20436, 14549, 29889, 13, 13, 1576, 805, 979, 13793, 10174, 322, 18750, 1169, 6788, 18470, 304, 278, 17294, 1549, 263, 4280, 3564, 310, 26808, 787, 322, 5857, 284, 9101, 29889, 450, 17294, 769, 5133, 1372, 1438, 18470, 408, 6788, 29892, 14372, 502, 304, 17189, 573, 322, 10049, 304, 7037, 12455, 1446, 470, 270, 13873, 29889, 13, 13, 797, 6124, 304, 302, 542, 625, 415]
[12535, 24888, 29363, 6175, 27006, 1100, 29892, 322, 6452, 366, 363, 596, 1371, 29889, 306, 2289, 11188, 372, 29889, 13, 13, 3492, 29915, 276, 12853, 29991, 306, 29915, 29885, 10932, 306, 1033, 1371, 29889, 3872, 29915, 29873, 19066, 10388, 304, 6159, 714, 565, 366, 505, 738, 901, 5155, 470, 817, 4340, 18872, 29889, 6975, 263, 2107, 2462, 29991, 2]
[23966, 29872, 8425, 16459, 15407, 16677, 321, 4698, 16677, 29892, 321, 301, 29915, 12751, 4246, 2005, 27169, 12607, 4379, 22566, 407, 265, 968, 29889, 13, 13, 2277, 29937, 18682, 20546, 983, 11544, 598, 13, 13, 29931, 29915, 29909, 261, 20546, 983, 11544, 598, 2077, 301, 29915, 29874, 261, 20546, 983, 2005, 12804, 26827, 28732, 29892, 2077, 1185, 4884, 363, 911, 5075, 403, 4698, 16677, 321, 447, 1185, 19097, 923, 1354, 784, 417, 1113, 1020, 454, 5187, 3677, 4070, 270, 29915, 29923, 24861, 29889, 13, 13, 29931, 29915, 29909, 261, 20546, 983, 11544, 598, 2077, 302, 532, 2032, 29871, 29896, 29929, 29906, 29941, 29892, 9836, 301, 29915, 12751, 4246, 3572, 29915, 267, 6269, 2049, 321, 2005, 1766, 1099, 29041, 5748, 2106, 443, 8021, 297, 1185, 899, 29874, 363, 1362, 263, 25261, 29889, 13, 13]
[5531, 27842, 26626, 28605, 5370, 6656, 313, 29967, 25014, 29897, 338, 263, 12187, 4331, 297, 278, 5849, 310, 4280, 2894, 12903, 29892, 3704, 25618, 29889, 2398, 29892, 278, 13206, 16637, 7208, 12903, 14407, 435, 25014, 3933, 6460, 368, 11098, 29889, 2266, 29892, 591, 1304, 2323, 29899, 3729, 390, 3521, 8617, 16750, 313, 1557, 29934, 3521, 29899, 11762, 29897, 304, 23033, 278, 13206, 16637, 24400, 310, 435, 25014, 297, 5199, 7232, 719, 8927, 20805, 9101, 313, 29882, 2890, 29907, 29879, 467, 1334, 15659, 263, 11306, 310, 9101, 393, 1090, 1484, 435, 25014, 322, 2931, 1891, 1009, 13206, 16637, 28723, 29889, 1334, 1476, 393, 435, 25014, 29899, 2388, 300, 296, 9101, 526, 427, 4018, 287, 363, 715, 332, 666, 327, 3819, 29320, 322, 4653, 263, 5412, 1301, 3395, 284, 8722, 393, 338, 8359, 515, 916]
[30200, 16527, 20653, 30741, 17534, 20401, 29952, 13, 13, 22550, 29901, 450, 2228, 366, 29915, 276, 10623, 3277, 338, 2861, 304, 278, 982, 16332, 10104, 1736, 29889, 1932, 366, 671, 421, 1983, 20401, 1673, 372, 3913, 278, 16332, 1923, 6790, 297, 596, 1788, 29915, 29879, 3564, 6055, 304, 2189, 278, 16332, 16280, 29889, 2398, 29892, 445, 16332, 1923, 1122, 451, 367, 2221, 304, 8814, 278, 5354, 1024, 304, 385, 5641, 3211, 1363, 278, 5354, 1024, 338, 451, 15443, 297, 278, 16332, 1923, 29915, 29879, 2566, 29889, 13, 13, 1762, 8814, 445, 2228, 29892, 366, 508, 1018, 278, 1494, 29901, 13, 13, 29896, 29889, 5399, 565, 278, 5354, 1024, 338, 15443, 29901, 4803, 263, 5354, 1024, 16280, 5780, 1316, 408, 421, 7501, 29952, 470, 421, 15970, 275, 29952, 304, 1423, 565, 278, 5354, 1024]
